t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
2.350000000000000144e-01,1.424761624242043834e-01,7.123808121210219383e+09,1.141359891690245356e-09,-2.645480723093140561e-08,-1.322740361546559143e+03,1.013585053448605583e-01,4.111765707934382508e-02,3.293887470867467603e-10
2.399999999999999911e-01,1.416659395513611142e-01,7.083296977568056107e+09,1.134869290914236173e-09,-2.550928416837132149e-08,-1.275464208418561611e+03,1.015184522859128580e-01,4.014748726544825619e-02,3.216168300525687389e-10
2.449999999999999956e-01,1.408839981380055340e-01,7.044199906900277138e+09,1.128605249606059813e-09,-2.461021773148987083e-08,-1.230510886574513279e+03,1.016266383727235240e-01,3.925735976528200999e-02,3.144861226423327728e-10
2.500000000000000000e-01,1.401298905784056081e-01,7.006494528920280457e+09,1.122564182048490978e-09,-2.373665115000736509e-08,-1.186832557500369148e+03,1.016901958485892654e-01,3.843969472981634272e-02,3.079359035710233969e-10
2.550000000000000044e-01,1.394024729025047094e-01,6.970123645125235558e+09,1.116736924031056000e-09,-2.292089753656288787e-08,-1.146044876828120323e+03,1.017156322508527555e-01,3.768684065165195385e-02,3.019048775067904554e-10
2.600000000000000089e-01,1.386992806787132049e-01,6.934964033935660362e+09,1.111103733280209833e-09,-2.217366465586030700e-08,-1.108683232793016941e+03,1.017087122169350599e-01,3.699056846177814495e-02,2.963271223391913349e-10
2.650000000000000133e-01,1.380185016108686769e-01,6.900925080543434143e+09,1.105650091703125787e-09,-2.146433151421254875e-08,-1.073216575710670440e+03,1.016741995529309994e-01,3.634430205793767743e-02,2.911499576813293015e-10
2.700000000000000178e-01,1.373595824794812403e-01,6.867979123974061966e+09,1.100371567523103154e-09,-2.077375972203848945e-08,-1.038687986101940623e+03,1.016161035987387384e-01,3.574347888074250190e-02,2.863368334029905464e-10
2.750000000000000222e-01,1.367219055127109339e-01,6.836095275635546684e+09,1.095263211842106233e-09,-2.011781734264279331e-08,-1.005890867132140556e+03,1.015380840657094802e-01,3.518382144700145375e-02,2.818534830860689590e-10
2.800000000000000266e-01,1.361039270844567606e-01,6.805196354222838402e+09,1.090312658851781898e-09,-1.950801616744088756e-08,-9.754008083720400464e+02,1.014435204208286451e-01,3.466040666362811551e-02,2.776604684070143103e-10
2.850000000000000311e-01,1.355043109133728385e-01,6.775215545668642044e+09,1.085509203758385752e-09,-1.892833949998653665e-08,-9.464169749993307050e+02,1.013351723435199497e-01,3.416913856985288878e-02,2.737249771026323665e-10
2.899999999999999800e-01,1.349225130569203512e-01,6.746125652846017838e+09,1.080848489101788499e-09,-1.836397471639513837e-08,-9.181987358197511639e+02,1.012153034875410279e-01,3.370720956937932333e-02,2.700245178470037424e-10
