t,S10,S11,T1
3.649999999999999911e-01,2.268404701938630044e-02,3.927144631563632589e-03,6.589948778535242857e-02
3.699999999999999956e-01,2.217440402070241026e-02,3.844146251943719467e-03,6.648345151014176113e-02
3.750000000000000000e-01,2.167762141058865097e-02,3.763265042758808226e-03,6.705261762211450760e-02
3.800000000000000044e-01,2.119337251136909142e-02,3.684440179482662437e-03,6.760736308081378987e-02
3.850000000000000089e-01,2.072129095273332611e-02,3.607626263182891341e-03,6.814805470529780584e-02
3.900000000000000133e-01,2.026103662861445873e-02,3.532772645720940255e-03,6.867504888788358852e-02
3.950000000000000178e-01,1.981232210164638255e-02,3.459820214177569079e-03,6.918869229086366257e-02
4.000000000000000222e-01,1.937486082719101776e-02,3.388715294460965203e-03,6.968932272416869522e-02
4.050000000000000266e-01,1.894834211357404249e-02,3.319414956146322405e-03,7.017726919576773581e-02
4.100000000000000311e-01,1.853246814141153859e-02,3.251875181613205802e-03,7.065285174644474198e-02
4.150000000000000355e-01,1.812697590928798869e-02,3.186045136750875143e-03,7.111638182149714049e-02
4.199999999999999845e-01,1.773160989097296442e-02,3.121876998887796687e-03,7.156816290489592669e-02
4.249999999999999889e-01,1.734610120431427996e-02,3.059330554534340618e-03,7.200849071780739130e-02
4.299999999999999933e-01,1.697018769476222808e-02,2.998366879565019481e-03,7.243765316132026733e-02
4.349999999999999978e-01,1.660363045292298848e-02,2.938942409236795870e-03,7.285593052882922971e-02
4.400000000000000022e-01,1.624619953352195861e-02,2.881014458087184822e-03,7.326359594625196647e-02
4.450000000000000067e-01,1.589765880456856309e-02,2.824545679789918287e-03,7.366091562215738853e-02
4.500000000000000111e-01,1.555777616679057153e-02,2.769500854918241928e-03,7.404814887080414521e-02
4.550000000000000155e-01,1.522633551736692417e-02,2.715842467231610602e-03,7.442554824981313655e-02
4.600000000000000200e-01,1.490312912464412248e-02,2.663532749589042018e-03,7.479335986831946170e-02
4.650000000000000244e-01,1.458794735643926394e-02,2.612537378108788048e-03,7.515182363314994174e-02
4.700000000000000289e-01,1.428058369193180473e-02,2.562824084485462034e-03,7.550117332354965016e-02
4.750000000000000333e-01,1.398084305108092916e-02,2.514359961368477312e-03,7.584163669590326950e-02
4.799999999999999822e-01,1.368853761322916772e-02,2.467111830753099255e-03,7.617343570987160362e-02
4.849999999999999867e-01,1.340347985769661451e-02,2.421048549455694782e-03,7.649678674349640051e-02
4.899999999999999911e-01,1.312548519968505245e-02,2.376140570599389462e-03,7.681190069740954918e-02
4.949999999999999956e-01,1.285437765951983301e-02,2.332358447921523310e-03,7.711898308710700423e-02
