t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
2.350000000000000144e-01,1.424376082216493311e-01,7.121880411082466125e+09,1.141051038477864200e-09,-2.654001569906780530e-08,-1.327000784953401308e+03,1.013273414782455834e-01,4.111026674340374776e-02,3.293295439689437981e-10
2.399999999999999911e-01,1.416246906351782409e-01,7.081234531758912086e+09,1.134538850665805883e-09,-2.559674273280087100e-08,-1.279837136640024255e+03,1.014851068880053275e-01,4.013958374717291333e-02,3.215535158910329947e-10
2.449999999999999956e-01,1.408399852012152120e-01,7.041999260060760498e+09,1.128252667111464011e-09,-2.469986827205290116e-08,-1.234993413602656801e+03,1.015910546240247347e-01,3.924893057719047729e-02,3.144185974013135205e-10
2.500000000000000000e-01,1.400830461155981865e-01,7.004152305779909134e+09,1.122188916529779196e-09,-2.382843640413203202e-08,-1.191421820206611301e+03,1.016523181472469284e-01,3.843072796835125815e-02,3.078640718925133938e-10
2.550000000000000044e-01,1.393527311807492008e-01,6.967636559037460327e+09,1.116338448909397947e-09,-2.301476195568747949e-08,-1.150738097784385900e+03,1.016754070761759499e-01,3.767732410457325098e-02,3.018286415599611213e-10
2.600000000000000089e-01,1.386465776596683963e-01,6.932328882983419418e+09,1.110681535551935486e-09,-2.226955512614562640e-08,-1.113477756307300297e+03,1.016660864260855723e-01,3.698049123358282397e-02,2.962463948414411648e-10
2.650000000000000133e-01,1.379627748767087714e-01,6.898138743835438728e+09,1.105203671346325038e-09,-2.156219641408265846e-08,-1.078109820704150479e+03,1.016291216220474025e-01,3.633365325466136886e-02,2.910646513623824536e-10
2.700000000000000178e-01,1.373007712138303582e-01,6.865038560691517830e+09,1.099900437344893948e-09,-2.087354796205785431e-08,-1.043677398102910956e+03,1.015685240214468793e-01,3.573224719238347891e-02,2.862468576597445307e-10
2.750000000000000222e-01,1.366599504864949854e-01,6.832997524324748993e+09,1.094766897365295931e-09,-2.021947909492345638e-08,-1.010973954746164964e+03,1.014879537021319833e-01,3.517199678436300214e-02,2.817587570951476822e-10
2.800000000000000266e-01,1.360387705913120304e-01,6.801938529565601349e+09,1.089790697797432303e-09,-1.961150384700467844e-08,-9.805751923502248246e+02,1.013907915289772449e-01,3.464797906233478553e-02,2.775609123449700705e-10
2.850000000000000311e-01,1.354358966942459663e-01,6.771794834712298393e+09,1.084961145441793626e-09,-1.903360706346668389e-08,-9.516803531733166892e+02,1.012797986699086744e-01,3.415609802433729192e-02,2.736205108160338672e-10
2.899999999999999800e-01,1.348507862792485412e-01,6.742539313962427139e+09,1.080273894265699067e-09,-1.847097649426624990e-08,-9.235488247133325785e+02,1.011572396822692232e-01,3.369354659697931798e-02,2.699150653713523684e-10
2.949999999999999845e-01,1.342830290202148003e-01,6.714151451010740280e+09,1.075725657194660243e-09,-1.793026390271779669e-08,-8.965131951359071536e+02,1.010251696216841882e-01,3.325785939853061202e-02,2.664248261259151679e-10
2.999999999999999889e-01,1.337316672306856358e-01,6.686583361534281731e+09,1.071308762314340049e-09,-1.742083435918052384e-08,-8.710417179590149317e+02,1.008854905935837321e-01,3.284617663710190372e-02,2.631268836210068181e-10
3.049999999999999933e-01,1.331957060628397860e-01,6.659785303141989708e+09,1.067015240015070192e-09,-1.693518887246972334e-08,-8.467594436234794557e+02,1.007397685596575360e-01,3.245593750318225001e-02,2.600007235108144960e-10
3.099999999999999978e-01,1.326746558804333675e-01,6.633732794021668434e+09,1.062841167878105191e-09,-1.646263862937339583e-08,-8.231319314686552389e+02,1.005893116668045151e-01,3.208534421362885247e-02,2.570319439646162387e-10
3.150000000000000022e-01,1.321681889788917652e-01,6.608409448944588661e+09,1.058783920700383571e-09,-1.600516805202141916e-08,-8.002584026010736125e+02,1.004352020180779848e-01,3.173298696081378045e-02,2.542092511782125548e-10
3.200000000000000067e-01,1.316756918640837604e-01,6.583784593204188347e+09,1.054838583852094428e-09,-1.556932515079548858e-08,-7.784662575398106128e+02,1.002785366421982405e-01,3.139715522188551988e-02,2.515189423528803135e-10
3.250000000000000111e-01,1.311964281367725416e-01,6.559821406838626862e+09,1.050999258124985453e-09,-1.515230259752738787e-08,-7.576151298763725208e+02,1.001202257375768817e-01,3.107620239919565985e-02,2.489478267872301437e-10
3.300000000000000155e-01,1.307299595224693245e-01,6.536497976123466492e+09,1.047262432553330806e-09,-1.474682265310841588e-08,-7.373411326554050902e+02,9.996097209153816110e-02,3.076898743093116340e-02,2.464867635683879740e-10
3.350000000000000200e-01,1.302760038626841477e-01,6.513800193134207726e+09,1.043625846798431316e-09,-1.435266111618659353e-08,-7.176330558093177387e+02,9.980137788190525383e-02,3.047462598077889384e-02,2.441286683814663801e-10
3.400000000000000244e-01,1.298341368764759640e-01,6.491706843823798180e+09,1.040086101995237673e-09,-1.397394978889434305e-08,-6.986974894447193947e+02,9.964201365637725960e-02,3.019212322009870442e-02,2.418655717704549151e-10
3.450000000000000289e-01,1.294038185185497070e-01,6.470190925927485466e+09,1.036638871903984049e-09,-1.361013788187056015e-08,-6.805068940935307182e+02,9.948337212595925738e-02,2.992044639259044958e-02,2.396892004452900179e-10
3.500000000000000333e-01,1.289846588855323994e-01,6.449232944276619911e+09,1.033281033054302384e-09,-1.325662891882465214e-08,-6.628314459411922144e+02,9.932577938695520692e-02,2.965887949857719252e-02,2.375938186162100818e-10
3.549999999999999822e-01,1.285764048216137267e-01,6.428820241080686569e+09,1.030010557444572173e-09,-1.291229293845409058e-08,-6.456146469226951012e+02,9.916958467555729573e-02,2.940682014605643102e-02,2.355746005912603912e-10
3.599999999999999867e-01,1.281787369500578533e-01,6.408936847502892494e+09,1.026824886585075463e-09,-1.257950482115172141e-08,-6.289752410576038528e+02,9.901508168855531478e-02,2.916365526150253851e-02,2.336266351100526078e-10
3.649999999999999911e-01,1.277912538866793069e-01,6.389562694333965302e+09,1.023720805033996322e-09,-1.225856167417618066e-08,-6.129280837087862892e+02,9.886195221361991636e-02,2.892930167305939049e-02,2.317492558925643196e-10
3.699999999999999956e-01,1.274136177107657864e-01,6.370680885538289070e+09,1.020695605747987546e-09,-1.194679375783324222e-08,-5.973396878916682908e+02,9.870984150311502836e-02,2.870377620765075799e-02,2.299425977373158687e-10
3.750000000000000000e-01,1.270455936701770372e-01,6.352279683508852005e+09,1.017747408155079696e-09,-1.164290191210594106e-08,-5.821450956053158734e+02,9.856003402784682677e-02,2.848555964233021043e-02,2.281944903267742983e-10
3.800000000000000044e-01,1.266869249313911094e-01,6.334346246569555283e+09,1.014874154791934331e-09,-1.134808993845073371e-08,-5.674044969225215027e+02,9.841265715733264752e-02,2.827426777405846192e-02,2.265018558552782685e-10
3.850000000000000089e-01,1.263373016068906618e-01,6.316865080344532967e+09,1.012073363185854362e-09,-1.106281711256887454e-08,-5.531408556284295628e+02,9.826782407482226311e-02,2.806947753206839868e-02,2.248613051523398727e-10
3.900000000000000133e-01,1.259964381974191250e-01,6.299821909870956421e+09,1.009342746235649924e-09,-1.078562908667966640e-08,-5.392814543339773081e+02,9.812561694570234860e-02,2.787082125171677638e-02,2.232698928994562269e-10
3.950000000000000178e-01,1.256641155887078809e-01,6.283205779435394287e+09,1.006680548642514570e-09,-1.051543389569850484e-08,-5.257716947848966811e+02,9.798607957812671687e-02,2.767803601058116403e-02,2.217255128558185751e-10
4.000000000000000222e-01,1.253401164366002019e-01,6.267005821830010414e+09,1.004085029287800989e-09,-1.025272769724011531e-08,-5.126363848620094359e+02,9.784924167614057755e-02,2.749087476045962430e-02,2.202261859471437603e-10
4.050000000000000266e-01,1.250241906591048890e-01,6.251209532955244064e+09,1.001554184793894354e-09,-9.997870415489155135e-09,-4.998935207744507352e+02,9.771515166950416054e-02,2.730903898960072851e-02,2.187695208306662662e-10
4.100000000000000311e-01,1.247160984473646289e-01,6.235804922368231773e+09,9.990860940800564443e-10,-9.750074579563072189e-09,-4.875037289781321306e+02,9.758383060261274777e-02,2.713226784475188114e-02,2.173534278414550085e-10
4.150000000000000355e-01,1.244156388694547671e-01,6.220781943472738266e+09,9.966791475041128376e-10,-9.508559020338846958e-09,-4.754279510169435525e+02,9.745526824706074454e-02,2.696037062239402260e-02,2.159763792758986976e-10
