t,S10,S11,T1
3.649999999999999911e-01,2.268567702066130731e-02,3.927504749691526804e-03,6.600230263780568207e-02
3.699999999999999956e-01,2.217610033392238347e-02,3.844522345835096194e-03,6.658948802433102554e-02
3.750000000000000000e-01,2.167938501412105048e-02,3.763657407142796153e-03,6.716190322709290894e-02
3.800000000000000044e-01,2.119520434507195239e-02,3.684849109906559138e-03,6.771992449848088236e-02
3.850000000000000089e-01,2.072319193520908223e-02,3.608052050062615992e-03,6.826391796903211184e-02
3.900000000000000133e-01,2.026300767303883255e-02,3.533215569063675662e-03,6.879423936042938781e-02
3.950000000000000178e-01,1.981436410242969418e-02,3.460280548271005459e-03,6.931123468139421817e-02
4.000000000000000222e-01,1.937697464372411041e-02,3.389193313689785499e-03,6.981524110503709024e-02
4.050000000000000266e-01,1.895052858121243702e-02,3.319910931844948562e-03,7.030658701908498731e-02
4.100000000000000311e-01,1.853472808908103453e-02,3.252389376144644573e-03,7.078559186008656634e-02
4.150000000000000355e-01,1.812931015243481048e-02,3.186577805282249203e-03,7.125256648441959106e-02
4.199999999999999845e-01,1.773401921479001581e-02,3.122428395142203689e-03,7.170781380212072620e-02
4.249999999999999889e-01,1.734858636855440145e-02,3.059900930233672156e-03,7.215162897523105801e-02
4.299999999999999933e-01,1.697274945078595595e-02,2.998956479350834304e-03,7.258429936005918182e-02
4.349999999999999978e-01,1.660626954232317237e-02,2.939551470332037522e-03,7.300610471898906495e-02
4.400000000000000022e-01,1.624891667281998589e-02,2.881643214807286680e-03,7.341731766036585505e-02
4.450000000000000067e-01,1.590045468493923517e-02,2.825194364538788534e-03,7.381820388844421987e-02
4.500000000000000111e-01,1.556065146885050703e-02,2.770169694524815106e-03,7.420902222605388343e-02
4.550000000000000155e-01,1.522929091415432985e-02,2.716531681691565503e-03,7.459002475178061475e-02
4.600000000000000200e-01,1.490616526902560114e-02,2.664242555173353729e-03,7.496145710779494875e-02
4.650000000000000244e-01,1.459106487722358278e-02,2.613267988877275485e-03,7.532355874584248379e-02
4.700000000000000289e-01,1.428378320553718925e-02,2.563575709797691771e-03,7.567656300168071337e-02
4.750000000000000333e-01,1.398412516736421453e-02,2.515132804468407039e-03,7.602069719937919190e-02
4.799999999999999822e-01,1.369190292612334006e-02,2.467906090949827276e-03,7.635618287713413777e-02
4.849999999999999867e-01,1.340692893913130943e-02,2.421864423673007402e-03,7.668323600219019431e-02
4.899999999999999911e-01,1.312901860791966524e-02,2.376978251568532575e-03,7.700206707481781210e-02
4.949999999999999956e-01,1.285799594648573060e-02,2.333218122745121543e-03,7.731288122023442788e-02
5.000000000000000000e-01,1.259369119167715566e-02,2.290554778019698347e-03,7.761587836316134748e-02
5.050000000000000044e-01,1.233593583458126620e-02,2.248960269172611652e-03,7.791125340587300163e-02
5.100000000000000089e-01,1.208456421774752737e-02,2.208407756583520565e-03,7.819919634352007209e-02
5.150000000000000133e-01,1.183941755174279867e-02,2.168870617599462716e-03,7.847989235580933587e-02
5.200000000000000178e-01,1.160034248732649820e-02,2.130322742941458385e-03,7.875352194359074021e-02
5.250000000000000222e-01,1.136718731366829528e-02,2.092739149878390225e-03,7.902026107748841288e-02
