t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
1.750000000000000167e-01,1.519209873826812829e-01,7.596049369134063721e+09,1.217021280993703770e-09,-5.332850513220187657e-08,-2.666425256610091310e+03,8.563432880779757450e-02,6.628665857488370838e-02,5.310146775730720099e-10
1.799999999999999933e-01,1.502967914483406275e-01,7.514839572417031288e+09,1.204010037118511822e-09,-5.079808495843751598e-08,-2.539904247921862407e+03,8.770462335868496606e-02,6.259216808965566148e-02,5.014185459232334899e-10
1.849999999999999978e-01,1.487504203003481296e-01,7.437521015017406464e+09,1.191622238514485070e-09,-4.831954755059163507e-08,-2.415977377529576188e+03,8.950348812500814877e-02,5.924693217533998080e-02,4.746202518375625381e-10
1.900000000000000022e-01,1.472809225032320757e-01,7.364046125161603928e+09,1.179850263343216021e-09,-4.598001408793958588e-08,-2.299000704396981746e+03,9.106787977223718134e-02,5.621304273099489435e-02,4.503161179482177670e-10
1.950000000000000067e-01,1.458805735486110311e-01,7.294028677430551529e+09,1.168632231470515302e-09,-4.391805336247617283e-08,-2.195902668123817421e+03,9.242916407879028795e-02,5.345140946982074315e-02,4.281929965345656204e-10
2.000000000000000111e-01,1.445397732172865879e-01,7.226988660864329338e+09,1.157891236661977739e-09,-4.206223277592007536e-08,-2.103111638796006446e+03,9.361366266335441333e-02,5.092611055393217456e-02,4.079631219500545617e-10
2.050000000000000155e-01,1.432552554729811800e-01,7.162762773649059296e+09,1.147601115082555263e-09,-4.026552403929104453e-08,-2.013276201964559732e+03,9.464330193137394931e-02,4.861195354160723070e-02,3.894246804872832049e-10
2.099999999999999922e-01,1.420265968804950707e-01,7.101329844024753571e+09,1.137758474642332416e-09,-3.854437606536782713e-08,-1.927218803268377087e+03,9.553818973703688544e-02,4.648840714345818526e-02,3.724131983856369340e-10
2.149999999999999967e-01,1.408495047431669589e-01,7.042475237158348083e+09,1.128328927049871265e-09,-3.698998486076960867e-08,-1.849499243038459099e+03,9.631623195201005627e-02,4.453327279115690263e-02,3.567508455076977389e-10
2.200000000000000011e-01,1.397178636187685064e-01,6.985893180938425064e+09,1.119263482211947869e-09,-3.558368873247411284e-08,-1.779184436623705551e+03,9.684553003812111649e-02,4.287233358064738986e-02,3.434452555398339859e-10
2.250000000000000056e-01,1.386285455819017132e-01,6.931427279095086098e+09,1.110537082683634255e-09,-3.423426921826401605e-08,-1.711713460913204472e+03,9.707070162013467507e-02,4.155784396176703810e-02,3.329150327748056563e-10
2.300000000000000100e-01,1.375811285989352317e-01,6.879056429946761131e+09,1.102146347602815736e-09,-3.292888447561227486e-08,-1.646444223780592438e+03,9.721875863243953364e-02,4.036236996649569808e-02,3.233382302659138202e-10
2.350000000000000144e-01,1.365732862692377036e-01,6.828664313461885452e+09,1.094072640445828327e-09,-3.172299185834773845e-08,-1.586149592917354312e+03,9.730129745122810536e-02,3.927198881800959829e-02,3.146033142746212926e-10
2.399999999999999911e-01,1.356011351834060241e-01,6.780056759170301437e+09,1.086284851673642176e-09,-3.061963450124703418e-08,-1.530981725062345504e+03,9.732817478142895273e-02,3.827296040197707139e-02,3.066002143502745294e-10
2.449999999999999956e-01,1.346621590032756610e-01,6.733107950163783073e+09,1.078762823195204996e-09,-2.956628714467354207e-08,-1.478314357233670307e+03,9.730746470390878866e-02,3.735469429936687236e-02,2.992440918832930379e-10
2.500000000000000000e-01,1.337557526882900971e-01,6.687787634414505005e+09,1.071501708101305378e-09,-2.854270108165103155e-08,-1.427135054082566057e+03,9.724620383974665050e-02,3.650954884854344662e-02,2.924737304150895651e-10
2.550000000000000044e-01,1.328806637251681855e-01,6.644033186258409500e+09,1.064491472654379205e-09,-2.757925845933823267e-08,-1.378962922966878978e+03,9.715081081161394683e-02,3.572985291355423865e-02,2.862276773717670980e-10
