t,S10,S11,T1
3.649999999999999911e-01,2.014255263758047212e-02,3.480358474575289459e-03,6.322571522051552428e-02
3.699999999999999956e-01,1.964015080831715485e-02,3.397926560323299809e-03,6.374418228234361716e-02
3.750000000000000000e-01,1.915149195484182679e-02,3.317754289070338862e-03,6.424823648190222669e-02
3.800000000000000044e-01,1.867619764485313472e-02,3.239772446179126769e-03,6.473827863834367979e-02
3.850000000000000089e-01,1.821385632572763633e-02,3.163926449569880520e-03,6.521469797150039605e-02
3.900000000000000133e-01,1.776408134129088198e-02,3.090158018407240109e-03,6.567787194300878095e-02
3.950000000000000178e-01,1.732653627170206018e-02,3.018401650629889358e-03,6.612816694842252319e-02
4.000000000000000222e-01,1.690088969132099578e-02,2.948596647061967752e-03,6.656593918400512122e-02
4.050000000000000266e-01,1.648679129677903601e-02,2.880692358738655336e-03,6.699153479112501808e-02
4.100000000000000311e-01,1.608390357172496954e-02,2.814638070489925044e-03,6.740528978895198031e-02
4.150000000000000355e-01,1.569192234313395926e-02,2.750377505639371549e-03,6.780753046627530090e-02
4.199999999999999845e-01,1.531055366579550658e-02,2.687857080967492353e-03,6.819857402248162559e-02
4.249999999999999889e-01,1.493949442030358642e-02,2.627030202806345752e-03,6.857872882840626572e-02
4.299999999999999933e-01,1.457844879665417571e-02,2.567852122138671381e-03,6.894829443981637107e-02
4.349999999999999978e-01,1.422714339888670604e-02,2.510274544947257297e-03,6.930756184793099295e-02
4.400000000000000022e-01,1.388531574137470692e-02,2.454250088298097401e-03,6.965681393995092063e-02
4.450000000000000067e-01,1.355270044590010242e-02,2.399736228294501762e-03,6.999632578382027071e-02
4.500000000000000111e-01,1.322903707168025626e-02,2.346692812866695878e-03,7.032636470614546387e-02
4.550000000000000155e-01,1.291408075218378367e-02,2.295078185173069028e-03,7.064719047878735558e-02
4.600000000000000200e-01,1.260759644572898540e-02,2.244850686641415224e-03,7.095905564788528019e-02
4.650000000000000244e-01,1.230934981841682284e-02,2.195971828702073230e-03,7.126220579980101222e-02
4.700000000000000289e-01,1.201911065293304048e-02,2.148405285930766843e-03,7.155687968398719012e-02
4.750000000000000333e-01,1.173666000728600112e-02,2.102114596400579509e-03,7.184330936498500852e-02
4.799999999999999822e-01,1.146178732423281700e-02,2.057063299629984920e-03,7.212172046605239140e-02
4.849999999999999867e-01,1.119428445591466939e-02,2.013216879265435164e-03,7.239233240007870995e-02
4.899999999999999911e-01,1.093394717443402567e-02,1.970542510392711208e-03,7.265535851784137023e-02
4.949999999999999956e-01,1.068057983719604420e-02,1.929007799992773142e-03,7.291100623708798856e-02
5.000000000000000000e-01,1.043399390747424584e-02,1.888580732353678515e-03,7.315947723237588296e-02
5.050000000000000044e-01,1.019400385656809085e-02,1.849230589290626814e-03,7.340096763422741810e-02
5.100000000000000089e-01,9.960427937129716705e-03,1.810927887352319597e-03,7.363566817793147645e-02
5.150000000000000133e-01,9.733091308099113201e-03,1.773643639107621737e-03,7.386376432291652527e-02
5.200000000000000178e-01,9.511825232288809509e-03,1.737349480877911937e-03,7.408543640609661918e-02
5.250000000000000222e-01,9.296464081462370646e-03,1.702018145578181041e-03,7.430085981422468455e-02
5.300000000000000266e-01,9.086845720353814437e-03,1.667623312286667684e-03,7.451020512046865885e-02
